1;1;FARMACIA BERNA QUILES;Carrer Teniente Coronel Chapuli, 1;3001;ALACANT;ALICANTE;https://www.google.es/maps/place/Farmacia+Berna+Quiles/@36.9027133,-4.116296,17z/data=!4m5!3m4!1s0xd6237b22e1ad04b:0xe2df25345e536b7!8m2!3d38.3448531!4d-0.4839363;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3190.483052807071!2d-4.116296!3d36.9027133!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd6237b22e1ad04b%3A0xe2df25345e536b7!2sFarmacia+Berna+Quiles!5e0!3m2!1ses!2ses!4v1523865342891
2;0;FARMACIA SÁNCHEZ ALONSO, JUAN MANUEL;Calle Seis de Febrero, 2;29711;ALCAUCIN;MALAGA;https://www.google.es/maps/place/Farmacia+S%C3%A1nchez+Alonso,+Juan+Manuel/@36.9027133,-4.116296,17z/data=!3m1!4b1!4m5!3m4!1s0xd726a60e7a99851:0xc0367bd9045c5437!8m2!3d36.902709!4d-4.114102;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3190.483233443023!2d-4.116290684707212!3d36.90270897992763!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd726a60e7a99851%3A0xc0367bd9045c5437!2sFarmacia+S%C3%A1nchez+Alonso%2C+Juan+Manuel!5e0!3m2!1ses!2ses!4v1523865420565
3;0;FARMACIA MUNDOSALUD;Paseo de la Chopera, 71;28100;ALCOBENDAS;MADRID;https://www.google.es/maps/place/Farmacia+MundoSalud/@40.543477,-3.6468648,17z/data=!3m1!4b1!4m5!3m4!1s0xd422c8c59a74553:0x8d25d0fb742ca42f!8m2!3d40.5434729!4d-3.6446708;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3031.9147349977943!2d-3.646859484600232!3d40.543472879350496!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd422c8c59a74553%3A0x8d25d0fb742ca42f!2sFarmacia+MundoSalud!5e0!3m2!1ses!2ses!4v1523868588134
4;0;FARMACIA FUENTELUCHA;Calle de la Fantasía, 8,;28100;ALCOBENDAS;MADRID;https://www.google.es/maps/place/Farmacia+Fuentelucha/@40.5529501,-3.6616384,17z/data=!3m1!4b1!4m5!3m4!1s0xd422c9eedb32e9d:0xe6cc41953c4b72e8!8m2!3d40.5529501!4d-3.6594497;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3031.4857101399116!2d-3.661638384599927!3d40.552950079349536!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd422c9eedb32e9d%3A0xe6cc41953c4b72e8!2sFarmacia+Fuentelucha!5e0!3m2!1ses!2ses!4v1523868664178
5;2;FARMACIA ATENAS;Calle Oslo, 1;28922;ALCORCON;MADRID;https://www.google.es/maps/place/Farmacia+Atenas/@40.3477677,-3.8427365,17z/data=!3m1!4b1!4m5!3m4!1s0xd418ec0ab81cbd3:0x25c258ae4676ab17!8m2!3d40.3477677!4d-3.8405478;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3040.7555841404815!2d-3.842736484606174!3d40.34776767937324!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd418ec0ab81cbd3%3A0x25c258ae4676ab17!2sFarmacia+Atenas!5e0!3m2!1ses!2ses!4v1523868773282
6;0;FARMACIA JOSE ANTONIO ROMERO MUÑOZ;Calle Medíodía, 19;29194;ALFARNATE;MALAGA;https://www.google.es/maps/place/Farmacia+Juan+Antonio+Romero+Mu%C3%B1oz/@36.9942712,-4.2596429,15z/data=!4m2!3m1!1s0x0:0x1225b4bf89d3b8e4?sa=X&ved=0ahUKEwjQi6Tdl6PaAhWBuhQKHXhTDB0Q_BIIczAK;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d12746.602615974054!2d-4.2596429!3d36.9942712!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x1225b4bf89d3b8e4!2sFarmacia+Juan+Antonio+Romero+Mu%C3%B1oz!5e0!3m2!1ses!2ses!4v1523868841878
7;0;Farmacia Miñana Serrano;Carrer Major, 50;46230;ALGINET;VALENCIA;https://www.google.es/maps/place/Farmacia+Mi%C3%B1ana+Serrano/@39.2636342,-0.4743083,16z/data=!4m8!1m2!2m1!1sFARMACIA+C%2F+MAYOR,+50+alginet!3m4!1s0xd61adbfac420b23:0x3cce10c1b71712b9!8m2!3d39.2600375!4d-0.4710777;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d6178.170330963512!2d-0.4743083!3d39.2636342!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd61adbfac420b23%3A0x3cce10c1b71712b9!2sFarmacia+Mi%C3%B1ana+Serrano!5e0!3m2!1ses!2ses!4v1523868899168
8;0;FARMACIA MARIA JOSE OLIVA PONCE;C/ CIGUEÑA, S/N;29130;EL ROMERAL;MALAGA;https://www.google.es/maps/place/Calle+Cigue%C3%B1a,+29130+El+Romeral,+M%C3%A1laga/@36.6923659,-4.5679273,127a,35y,150.68h,45t/data=!3m1!1e3!4m5!3m4!1s0xd72e5542f10e84d:0x248ac91ed0d4c696!8m2!3d36.6915375!4d-4.5678459;https://www.google.com/maps/embed?pb=!1m17!1m11!1m3!1d127!2d-4.5679273!3d36.6923659!2m2!1f150.68!2f45!3m2!1i1024!2i768!4f35!3m3!1m2!1s0xd72e5542f10e84d%3A0x248ac91ed0d4c696!2sCalle+Cigue%C3%B1a%2C+29130+El+Romeral%2C+M%C3%A1laga!5e1!3m2!1ses!2ses!4v1523868943990
9;0;Farmacia Ana María Fernández Leiva;Calle Padre Miguel Sánchez, 3;29150;ALMOGIA;MALAGA;https://www.google.es/maps/place/Ana+Mar%C3%ADa+Fern%C3%A1ndez+Leiva/@36.8262166,-4.5409959,15z/data=!4m2!3m1!1s0x0:0x4a21f21c4b563ad2?sa=X&ved=0ahUKEwibk-LCu6XaAhWEbRQKHWqZAdoQ_BIIdzAK;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d12774.715114033846!2d-4.5409959!3d36.8262166!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x4a21f21c4b563ad2!2sAna+Mar%C3%ADa+Fern%C3%A1ndez+Leiva!5e0!3m2!1ses!2ses!4v1523869009122
10;0;Farmacia Franquelo Manso;Calle Infante Don Fernando, 62;29200;ANTEQUERA;MALAGA;https://www.google.es/maps/place/Farmacia+Franquelo+Manso/@36.8262166,-4.5409959,15z/data=!4m5!3m4!1s0xd728fe026941429:0x3a1d0d2b4913b188!8m2!3d37.0188434!4d-4.5621494;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d12774.715114033846!2d-4.5409959!3d36.8262166!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd728fe026941429%3A0x3a1d0d2b4913b188!2sFarmacia+Franquelo+Manso!5e0!3m2!1ses!2ses!4v1523869049744
11;0;Farmacia Santiago Jiménez;Calle Nueva, 44;29300;ARCHIDONA;MALAGA;https://www.google.es/maps/place/Farmacia+Santiago+Jim%C3%A9nez/@37.0943404,-4.3921689,17z/data=!3m1!4b1!4m5!3m4!1s0xd727d848acec885:0x5a892dc31cfc0a6a!8m2!3d37.0943404!4d-4.3899802;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3182.452686184965!2d-4.392168884701809!3d37.09434037988902!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd727d848acec885%3A0x5a892dc31cfc0a6a!2sFarmacia+Santiago+Jim%C3%A9nez!5e0!3m2!1ses!2ses!4v1523869092130
12;0;FARMACIA JOSE RAMON DEL CASTILLO SANCHZ;C/ CANTABRIA, 8;28939;ARROYOMOLINOS;MADRID;https://www.google.es/maps/place/Farmacia/@40.5861776,-5.1213396,9z/data=!4m8!1m2!2m1!1sFarmacia+JOSE+RAMON+DL+CASTILLO+SANCHZ!3m4!1s0xd41928e03bffb7b:0xed1fbf06bb51648!8m2!3d40.2735885!4d-3.9210131;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d775675.1035358659!2d-5.1213396!3d40.5861776!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd41928e03bffb7b%3A0xed1fbf06bb51648!2sFarmacia!5e0!3m2!1ses!2ses!4v1523869125318
13;0;Farmacia Riba;Gran Via de les Corts Catalanes, 470;8015;BARCELONA;BARCELONA;https://www.google.es/maps/place/Farmacia+Riba/@41.3795365,2.15545,14z/data=!4m12!1m6!3m5!1s0x0:0xebd595c3926828aa!2sFarmacia+Riba!8m2!3d41.3794473!4d2.1555718!3m4!1s0x0:0xebd595c3926828aa!8m2!3d41.3794473!4d2.1555718;https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d23949.99245385071!2d2.15545!3d41.3795365!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xebd595c3926828aa!2sFarmacia+Riba!5e0!3m2!1ses!2ses!4v1523869199658
14;0;FARAMCIA ALBERTO IGLESIAS LLAGOSTERA;Ctra. de Berga, 2;8660;BALSARENY;BARCELONA;https://www.google.es/maps/place/Alberto+Iglesias+Llagostera/@41.8643937,1.8722922,17z/data=!3m1!4b1!4m5!3m4!1s0x12a4feff60b2972f:0xc22e22d9561d0286!8m2!3d41.8643937!4d1.8744809;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2971.3231355945695!2d1.8722922154406745!3d41.86439367922329!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12a4feff60b2972f%3A0xc22e22d9561d0286!2sAlberto+Iglesias+Llagostera!5e0!3m2!1ses!2ses!4v1523869241918
15;0;farmacia ALICIA GOMEZ GONZALEZ;C/SOCIEDAD SANTA BARBARA, 6;48901;BARAKALDO;VIZCAYA;https://www.google.es/maps/place/Sociedad+Santa+Barbara+Kalea,+6,+48901+Barakaldo,+Bizkaia/@43.3007926,-2.9841755,17z/data=!3m1!4b1!4m8!1m2!2m1!1sFARMACIA+C%2FSOCIEDAD+SANTA+BARBARA,+6!3m4!1s0xd4e5a6351cf3a69:0x1c6aa401ec036f75!8m2!3d43.3007926!4d-2.9819868;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2903.6432298501904!2d-2.9841808492528847!3d43.300792579032546!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xd4e5a6351cf3a69%3A0x1c6aa401ec036f75!2sSociedad+Santa+Barbara+Kalea%2C+6%2C+48901+Barakaldo%2C+Bizkaia!5e0!3m2!1ses!2ses!4v1523869298322
